ID,Valence,Arousal,Freq,CNC,IMG,Word
279,6.78,6.09,23,459,508,CHAMPION
280,5.59,3.83,20,587,560,CHAPEL
281,5.16,4.74,14,365,372,CHARCOAL
282,5.38,4.65,22,532,531,CHART
283,5.5,4.68,4,477,516,CHAUFFEUR
284,5.64,5.5,88,329,457,CHECK
285,5.96,4.4,1,329,457,CHECKERS
286,6.4,4.68,2,329,457,CHEDDAR
287,5.58,4.61,20,565,561,CHEEK
288,5.97,6.19,1,362,475,CHEERLEADER
289,6.54,4.48,9,624,592,CHEESE
290,6.31,4.96,9,624,592,CHEF
291,4.19,6.01,60,624,592,CHEMICAL
292,5.49,5.49,1,624,592,CHEMIST
293,6.77,4.83,6,611,582,CHERRY
294,5.75,4.25,3,611,582,CHESS
295,5.65,5.03,53,580,556,CHEST
296,6.23,4.87,3,454,437,CHICK
297,6.14,4.74,37,614,619,CHICKEN
298,5.35,5.57,119,503,545,CHIEF
299,6.21,5.02,213,581,619,CHILD
300,6.02,4.48,5,379,460,CHIME
301,5.31,4.43,7,379,460,CHIMNEY
302,5.83,6.05,3,379,460,CHIMPANZEE
303,5.62,4.76,17,462,429,CHIP
304,6.2,4.65,1,611,609,CHIPMUNK
305,4.95,5.3,4,597,567,CHISEL
306,7.52,5.28,9,576,611,CHOCOLATE
307,4.86,4.14,348,587,616,CHURCH
308,3.81,5.06,10,580,619,CIGAR
309,3,5.9,25,607,645,CIGARETTE
310,6.81,4.75,1,599,571,CINNAMON
311,6.03,6.25,7,535,586,CIRCUS
312,5.76,4.91,30,455,445,CITIZEN
313,6.56,4.93,1,455,445,CITRUS
314,5.8,6.16,393,554,605,CITY
315,4.95,4.23,3,564,541,CLAM
316,4.51,5.23,1,353,362,CLAMP
317,5.8,4.57,1,633,593,CLARINET
318,5.5,5.05,207,498,456,CLASS
319,4.26,6.07,1,587,600,CLAW
320,5.49,4.13,100,606,575,CLAY
321,5.29,4.62,34,264,334,CLERK
322,4.64,6.38,11,591,599,CLIFF
323,5.52,5.61,44,591,599,CLIMBER
324,4.94,5.06,1,456,472,CLIPPERS
325,5.52,4.6,20,591,614,CLOCK
326,5.27,4.3,16,599,525,CLOSET
327,6.03,4.55,89,600,629,CLOTHES
328,6.46,2.78,28,554,595,CLOUD
329,5.45,4.14,1,565,446,CLOVE
330,4.91,5.96,3,627,589,CLOWN
331,5.68,5.37,24,561,560,COACH
332,4.45,4.91,32,584,581,COAL
333,5.7,4.23,43,601,572,COAT
334,5.15,4.39,1,601,572,COB
335,6.15,4.55,1,601,572,COBBLER
336,3.45,7.33,3,601,572,COBRA
337,3.49,5.13,3,601,572,COBWEB
338,6.06,5.17,25,576,604,COCKTAIL
339,5.17,3.84,3,576,604,COCOON
340,5.01,4.44,6,576,604,COD
341,6.7,5.61,78,613,618,COFFEE
342,2.53,6.24,7,595,606,COFFIN
343,6.02,5.02,10,581,603,COIN
344,5.08,4.44,1,457,531,COLESLAW
345,4.97,4.48,17,622,582,COLLAR
346,6.21,5.64,267,554,590,COLLEGE
347,5.7,5.11,9,576,586,COLOGNE
348,4.99,5.61,37,523,552,COLONEL
349,5.93,4.97,18,402,435,COLT
350,5.31,4.52,71,520,491,COLUMN
351,5.33,4,6,520,491,COMB
352,6.82,6,5,355,322,COMEDIAN
353,5.96,6.2,2,0,521,COMET
354,5.01,6.22,28,512,478,COMMANDER
355,4.86,5,168,498,481,COMMITTEE
356,6.32,4.61,231,388,416,COMMUNITY
357,6.78,4.42,19,441,462,COMPANION
358,5.62,4.8,13,311,336,COMPASS
359,6.81,5.57,13,0,329,COMPUTER
360,6.74,6.36,39,252,578,CONCERT
361,4.91,4.61,48,562,564,CONCRETE
362,5.5,5.2,25,303,297,CONDUCTOR
363,5.5,4.46,13,573,559,CONE
364,5.71,4.28,3,270,335,CONSOLE
365,5.27,5.13,37,464,410,CONSUMER
366,5.42,4.43,10,456,449,CONTAINER
367,5.66,4.87,17,459,478,CONTINENT
368,4.77,5.38,60,467,457,CONTRACT
369,5.01,5.2,6,368,397,CONTRACTOR
370,4.81,3.8,4,537,559,CONVENT
371,2.39,7.14,6,368,397,CONVICT
372,6.32,4.89,47,502,504,COOK
373,6.22,4.24,2,502,504,COOKBOOK
374,7.32,4.93,1,634,600,COOKIE
375,5.85,4.24,12,364,429,COOLER
376,4.42,6.74,15,350,462,COP
377,5.11,4.56,3,347,344,COPIER
378,6.21,4.04,5,572,561,CORAL
379,5.04,4.71,6,564,549,CORD
380,5.25,4.36,9,608,631,CORK
381,6,4.22,34,576,601,CORN
382,4.07,5.58,90,361,337,CORPORATION
383,5.87,5.28,10,544,538,COSTUME
384,6.29,3.42,19,593,607,COTTAGE
385,6.19,3.5,38,608,562,COTTON
386,6.05,3.31,12,578,536,COUCH
387,5.61,6.64,1,578,536,COUGAR
388,6.12,4.37,324,465,539,COUNTRY
389,5.48,4.46,155,465,539,COUNTY
390,5.31,4.84,465,389,391,COURSE
391,4.07,6.19,230,509,552,COURT
392,6.21,4.59,51,502,478,COUSIN
393,5.66,4.07,29,621,632,COW
394,2.81,5.88,8,621,632,COWARD
395,5.81,5.65,16,245,378,COWBOY
396,4.7,6.2,1,456,337,COYOTE
397,5.24,5.15,2,626,589,CRAB
398,5.78,4.52,17,626,589,CRACKER
399,5.76,3.6,7,587,592,CRADLE
400,4.55,5.49,2,448,524,CRATER
401,6.23,4.27,1,408,488,CRAYON
402,6.08,4.23,20,621,557,CREAM
403,4.71,5.95,15,541,492,CREATURE
404,6.37,3.31,14,541,492,CREEK
405,4.31,5.16,2,555,526,CREVICE
406,5.49,5.01,36,523,486,CREW
407,5.66,4.1,5,523,486,CRIB
408,4.77,4.44,3,523,486,CRICKET
409,2.4,7.22,24,387,471,CRIMINAL
410,3.8,6.08,25,261,250,CRITIC
411,4.16,6.86,1,583,601,CROCODILE
412,2.51,6.78,3,520,526,CROOK
413,5.26,4.81,55,514,501,CROSS
414,4.61,5.43,2,590,578,CROW
415,5.93,5.42,19,586,602,CROWN
416,4.64,4.38,3,541,497,CRUMB
417,3.96,5.43,1,381,480,CRUTCH
418,6.43,4.96,23,587,579,CRYSTAL
