1172,1415,410,745,255,995,1332,1408,360,24,848,726,565,1070,13,654,417,1587,383,622,732,1530,313,172
408,670,606,340,1620,1047,169,1343,852,171,1628,216,1533,1017,776,1505,1581,1508,1606,919,839,804,400,501
1545,498,1392,307,166,499,578,878,249,198,793,1618,29,610,798,211,1271,1546,100,61,33,1355,1368,488
935,258,778,1635,447,1079,485,1158,1426,1009,639,405,490,579,870,1369,403,131,827,702,623,1299,1139,495
763,75,800,706,1319,1202,900,633,1512,590,940,821,389,6,372,1414,982,1341,1521,162,348,39,86,1503
1522,792,1592,508,874,719,1622,667,794,145,53,1326,1087,390,988,567,127,641,184,807,682,1250,1292,1031
183,1330,960,292,55,1111,1051,843,888,358,1524,584,580,483,425,67,1238,734,749,142,84,437,384,697
1152,605,203,847,929,795,1416,575,496,134,1374,908,871,675,82,1472,1460,1486,820,223,104,576,974,718
658,1631,530,812,601,738,1203,1260,1420,869,1227,1124,737,253,1125,1021,323,1461,1488,553,1493,604,1331,467
91,1183,1407,620,230,1022,1095,1261,68,953,1132,592,1287,771,570,569,119,876,1456,1245,1347,846,1358,1170
1405,1194,66,1049,157,1626,661,883,723,1312,1527,1328,895,261,164,325,1468,1451,1351,113,1036,442,764,1511
752,199,1232,1436,1448,88,1016,1501,1085,546,1272,696,46,593,10,642,1104,959,1184,1015,901,1636,316,624
200,143,1159,1219,1440,1411,1315,1258,1209,441,35,431,1357,977,833,177,715,1329,1144,1555,1307,397,1032,1199
336,1061,627,728,598,386,999,83,1621,466,295,724,996,1192,494,1609,512,1048,1388,519,1295,585,691,559
1108,1422,1027,976,265,796,476,916,840,1200,1532,754,1633,235,429,1071,1096,1345,1373,599,283,573,541,972
666,600,254,308,1155,1282,267,1593,1000,1438,1148,137,922,484,378,1349,932,1147,628,94,713,338,760,1011
1572,708,1256,1284,683,1280,1019,509,937,857,1215,662,1262,1140,226,858,278,1123,543,955,614,1113,1478,893
63,885,645,684,1371,194,1544,492,912,829,395,994,435,1089,602,136,1037,1060,1578,699,766,1092,328,125
64,790,139,446,327,1384,782,1385,1035,1526,1535,497,1176,873,248,997,1066,761,175,866,618,660,1557,1117
1330,1349,46,441,1173,1488,1472,442,1369,1299,1527,1526,1197,499,857,171,340,580,660,1438,1486,136,1414,1388
304,338,230,794,600,1111,1371,386,29,509,164,308,812,1355,745,606,1312,834,795,1031,1605,184,1037,728
113,661,1508,963,628,497,1392,972,131,1123,988,1176,666,633,641,53,405,1203,1132,188,760,1400,496,1451
1093,974,807,1368,691,1250,1200,852,1293,1557,883,1238,1593,997,900,874,1427,483,1124,1092,1048,861,240,1621
1341,278,682,1295,1227,397,1060,373,1002,820,776,1327,313,1183,199,1148,1536,1284,360,187,980,254,339,368
255,1343,1143,1440,754,1331,88,622,1087,1317,1147,1385,1422,1546,1245,1261,623,1562,200,1415,1633,1089,1006,1555
1140,1272,1036,1172,922,1080,139,325,1194,783,498,785,1065,1524,55,1159,1501,872,142,172,1282,466,885,684
1345,371,706,61,1202,1611,1622,1351,1329,1258,989,183,384,127,976,388,879,299,280,413,63,658,35,425
125,738,1629,86,1411,169,1287,429,1326,714,194,618,1246,1085,601,358,977,64,858,578,982,576,876,895
733,38,223,620,953,1149,1113,1319,1420,1009,476,378,1098,1370,1609,1358,1192,901,790,1095,157,400,1456,1436
999,702,567,637,840,265,1170,996,435,13,683,1022,800,639,575,490,1512,12,1535,642,792,1307,1260,1511
166,137,1519,415,1635,1581,667,267,1229,91,389,543,561,1144,520,24,659,1626,1061,1271,1625,1382,724,746
